route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name,slug
RATRANI4,1,NORMAL_RATRANI4_Pune Station To Hadapsar Gadital_Down-2200_0,Pune Station To Hadapsar Gadital,,1,,4563,,,RATRANI4/1,2,2,RATRANI4 - Pune Station To Hadapsar Gadital,ratrani4-pune-station-to-hadapsar-gadital
291,1,NORMAL_291_Hadapsar To Upper depot_Down-0515_0,Hadapsar To Upper depot,,1,,5180,,,291/15,1,1,291 - Hadapsar To Upper depot,291-hadapsar-to-upper-depot
291,1,NORMAL_291_Upper depot To Hadapsar_Up-0600_0,Upper depot To Hadapsar,,1,,5178,,,291/15,2,2,291 - Upper depot To Hadapsar,291-upper-depot-to-hadapsar
101,1,NORMAL_101_Kothrud Depot To Kondhwa Kh_Up-0600_0,Kothrud Depot To Kondhwa Kh,,1,,4953,,,101/1,1,1,101 - Kothrud Depot To Kondhwa Kh,101-kothrud-depot-to-kondhwa-kh
101,1,NORMAL_101_Kondhwa Kh To Kothrud Depot_Down-0705_0,Kondhwa Kh To Kothrud Depot,,1,,4954,,,101/1,2,2,101 - Kondhwa Kh To Kothrud Depot,101-kondhwa-kh-to-kothrud-depot
101,1,NORMAL_101_Kothrud Depot To Sidharthnagar_Up-0910_0,Kothrud Depot To Sidharthnagar,,1,,4676,,,101/2,3,3,101 - Kothrud Depot To Sidharthnagar,101-kothrud-depot-to-sidharthnagar
101,1,NORMAL_101_Sidharthnagar To Kothrud Depot_Down-1030_0,Sidharthnagar To Kothrud Depot,,1,,4677,,,101/2,4,4,101 - Sidharthnagar To Kothrud Depot,101-sidharthnagar-to-kothrud-depot
102,1,NORMAL_102_Kothrud Depot To Lohgaon_Up-0520_0,Kothrud Depot To Lohgaon,,0,,3392,,,102/1,1,1,102 - Kothrud Depot To Lohgaon,102-kothrud-depot-to-lohgaon
102,1,NORMAL_102_Lohgaon To Kothrud Depot_Down-0640_0,Lohgaon To Kothrud Depot,,0,,3413,,,102/1,2,2,102 - Lohgaon To Kothrud Depot,102-lohgaon-to-kothrud-depot
5,1,NORMAL_5_Pune Station To Swargate_Down-0530_0,Pune Station To Swargate,,0,,3389,,,05-Jan,1,1,5 - Pune Station To Swargate,5-pune-station-to-swargate
298,1,NORMAL_298_Chinchwad Gaon To Katraj_Down-1440_0,Chinchwad Gaon To Katraj,,0,,3313,,,298/1,6,2,298 - Chinchwad Gaon To Katraj,298-chinchwad-gaon-to-katraj
36_47,1,NORMAL_36_Ma Na Pa To Chinchwadgaon_Up-0530_0,Ma Na Pa To Chinchwadgaon,,0,,3306,,,36/1,1,1,36_47 - Ma Na Pa To Chinchwadgaon,36-47-ma-na-pa-to-chinchwadgaon
213,1,NORMAL_213_Vimannagar To Katraj_DOWN-0705_0,Vimannagar To Katraj,,0,,1069,,,213/1,2,2,213 - Vimannagar To Katraj,213-vimannagar-to-katraj
236,1,NORMAL_236_Khulewadi To Ma Na Pa_DOWN-0640_0,Khulewadi To Ma Na Pa,,0,,3178,,,236/1,2,2,236 - Khulewadi To Ma Na Pa,236-khulewadi-to-ma-na-pa
236,1,NORMAL_236_Ma Na Pa To Kharadi Gaon_UP-0730_0,Ma Na Pa To Kharadi Gaon,,1,,5071,,,236/1,3,3,236 - Ma Na Pa To Kharadi Gaon,236-ma-na-pa-to-kharadi-gaon
236,1,NORMAL_236_Kharadi Gaon To Ma Na Pa_DOWN-0830_0,Kharadi Gaon To Ma Na Pa,,1,,5072,,,236/1,4,4,236 - Kharadi Gaon To Ma Na Pa,236-kharadi-gaon-to-ma-na-pa
318,1,NORMAL_318_Krishna nagar To Pune Station_Down-0600_0,Krishna nagar To Pune Station,,0,,3281,,,318/1,1,1,318 - Krishna nagar To Pune Station,318-krishna-nagar-to-pune-station
318,1,NORMAL_318_Pune station To Krishna Nagar_Up-0715_0,Pune station To Krishna Nagar,,0,,3279,,,318/1,2,2,318 - Pune station To Krishna Nagar,318-pune-station-to-krishna-nagar
350B,8,NORMAL_350B_Bhakti Shakti To Pimprigaon_Down-0635_0,Bhakti Shakti To Pimprigaon,,0,,3686,,,355/1,2,2,350B - Bhakti Shakti To Pimprigaon,350b-bhakti-shakti-to-pimprigaon
358,1,NORMAL_358_Bhosari PMT Chowk To Nirgudigaon Via Charholi Phata_Down-0545_0,Bhosari PMT Chowk To Nirgudigaon Via Charholi Phata,,1,,5109,,,358/20,1,1,358 - Bhosari PMT Chowk To Nirgudigaon Via Charholi Phata,358-bhosari-pmt-chowk-to-nirgudigaon-via-charholi-phata
358,1,NORMAL_358_Nirgudigaon To Bhosari PMT Chowk Via Charholi Phata_Up-0635_0,Nirgudigaon To Bhosari PMT Chowk Via Charholi Phata,,1,,5110,,,358/20,2,2,358 - Nirgudigaon To Bhosari PMT Chowk Via Charholi Phata,358-nirgudigaon-to-bhosari-pmt-chowk-via-charholi-phata
84,1,NORMAL_84_Ganpati Matha To Kondhur Phata_Up-0500_0,Ganpati Matha To Kondhur Phata,,1,,5100,,,84/2,1,1,84 - Ganpati Matha To Kondhur Phata,84-ganpati-matha-to-kondhur-phata
84,1,NORMAL_84_Kondhur Phata To Ganpati Matha_Down-0610_0,Kondhur Phata To Ganpati Matha,,1,,5101,,,84/2,2,2,84 - Kondhur Phata To Ganpati Matha,84-kondhur-phata-to-ganpati-matha
204,1,NORMAL_204_Chinchwad Gaon to  Bhekrainagar_Down-0700_0,Chinchwad Gaon to  Bhekrainagar,,0,,3314,,,204/1,2,2,204 - Chinchwad Gaon to  Bhekrainagar,204-chinchwad-gaon-to-bhekrainagar
301A_82,1,NORMAL_301A_Katraj To Hadapsar Gadital_Up-0600_0,Katraj To Hadapsar Gadital,,1,,4939,,,301A/1,1,1,301A_82 - Katraj To Hadapsar Gadital,301a-82-katraj-to-hadapsar-gadital
301A_82,1,NORMAL_301A_Hadapsar Gadital To Katraj_Down-0710_0,Hadapsar Gadital To Katraj,,1,,4940,,,301A/1,2,2,301A_82 - Hadapsar Gadital To Katraj,301a-82-hadapsar-gadital-to-katraj
RATRANI1,1,NORMAL_RATRANI1_Katraj To Shivajinagar Night Service_Up-2240_0,Katraj To Shivajinagar Night Service,,1,,4557,,,RATRANI1/1,1,1,RATRANI1 - Katraj To Shivajinagar Night Service,ratrani1-katraj-to-shivajinagar-night-service
RATRANI1,1,NORMAL_RATRANI1_Shivajinagar To Katraj Night Service_Down-2325_0,Shivajinagar To Katraj Night Service,,1,,4555,,,RATRANI1/1,2,2,RATRANI1 - Shivajinagar To Katraj Night Service,ratrani1-shivajinagar-to-katraj-night-service
RATRANI2,1,NORMAL_RATRANI2_Katraj To Pune Station_Up-2300_0,Katraj To Pune Station,,1,,4561,,,RATRANI2/1,1,1,RATRANI2 - Katraj To Pune Station,ratrani2-katraj-to-pune-station
RATRANI2,1,NORMAL_RATRANI2_Pune Station To Katraj_Down-2350_0,Pune Station To Katraj,,1,,4559,,,RATRANI2/1,2,2,RATRANI2 - Pune Station To Katraj,ratrani2-pune-station-to-katraj
357,1,NORMAL_357_Bhosari Terminal To Pune Station_Down-0455_0,Bhosari Terminal To Pune Station,,1,,5151,,,357/1,1,1,357 - Bhosari Terminal To Pune Station,357-bhosari-terminal-to-pune-station
357,1,NORMAL_357_Pune Station To Bhosari Terminal_Up-0545_0,Pune Station To Bhosari Terminal,,1,,4840,,,357/1,2,2,357 - Pune Station To Bhosari Terminal,357-pune-station-to-bhosari-terminal
135,1,NORMAL_135_Pune Station To Wadebolhai_Up-0530_0,Pune Station To Wadebolhai,,0,,5207,,,135/1,1,1,135 - Pune Station To Wadebolhai,135-pune-station-to-wadebolhai
135,1,NORMAL_135_Wadebolhai To Pune Station_Down-0630_0,Wadebolhai To Pune Station,,0,,5208,,,135/1,2,2,135 - Wadebolhai To Pune Station,135-wadebolhai-to-pune-station
27,1,NORMAL_27_Bharati Vidyapeeth To Shivajinagar_Up-0550_0,Bharati Vidyapeeth To Shivajinagar,,0,,2400,,,27-Jan,1,1,27 - Bharati Vidyapeeth To Shivajinagar,27-bharati-vidyapeeth-to-shivajinagar
27,1,NORMAL_27_Shivajinagar To Bharati Vidyapeeth_Down-0650_0,Shivajinagar To Bharati Vidyapeeth,,0,,2922,,,27-Jan,2,2,27 - Shivajinagar To Bharati Vidyapeeth,27-shivajinagar-to-bharati-vidyapeeth
27,1,NORMAL_27_Katraj To Shivajinagar_Up-0815_0,Katraj To Shivajinagar,,1,,5219,,,27-Apr,1,1,27 - Katraj To Shivajinagar,27-katraj-to-shivajinagar
27,1,NORMAL_27_Shivajinagar To Katraj_Down-0905_0,Shivajinagar To Katraj,,1,,5220,,,27-Apr,2,2,27 - Shivajinagar To Katraj,27-shivajinagar-to-katraj
26,1,NORMAL_26_Dhankawadi To Shivajinagar_Up-0530_0,Dhankawadi To Shivajinagar,,0,,2315,,,26-Jan,1,1,26 - Dhankawadi To Shivajinagar,26-dhankawadi-to-shivajinagar
26,1,NORMAL_26_Shivajinagar To Dhankawadi_Down-0630_0,Shivajinagar To Dhankawadi,,0,,2923,,,26-Jan,2,2,26 - Shivajinagar To Dhankawadi,26-shivajinagar-to-dhankawadi
26,1,NORMAL_26_Katraj To Shivajinagar_Up-0805_0,Katraj To Shivajinagar,,1,,5217,,,26-Apr,1,1,26 - Katraj To Shivajinagar,26-katraj-to-shivajinagar
26,1,NORMAL_26_Shivajinagar To Katraj_Down-0855_0,Shivajinagar To Katraj,,1,,5218,,,26-Apr,2,2,26 - Shivajinagar To Katraj,26-shivajinagar-to-katraj
209_96,1,NORMAL_209_Katraj To Saswad Bus Stand_Up-0515_0,Katraj To Saswad Bus Stand,,1,,5244,,,209/1,1,1,209_96 - Katraj To Saswad Bus Stand,209-96-katraj-to-saswad-bus-stand
209_96,1,NORMAL_209_Saswad Bus Stand To Katraj_Down-0630_0,Saswad Bus Stand To Katraj,,1,,5245,,,209/1,2,2,209_96 - Saswad Bus Stand To Katraj,209-96-saswad-bus-stand-to-katraj
