route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name,slug
RATRANI7,1,NORMAL_RATRANI7_Pune station To Kondhwa gate_Up-2140_0,Pune station To Kondhwa gate,,1,,4665,,,RATRANI7/1,1,1,RATRANI7 - Pune station To Kondhwa gate,ratrani7-pune-station-to-kondhwa-gate
RATRANI7,1,NORMAL_RATRANI7_Kondhwa gate To Pune station_Down-2300_0,Kondhwa gate To Pune station,,1,,4666,,,RATRANI7/1,2,2,RATRANI7 - Kondhwa gate To Pune station,ratrani7-kondhwa-gate-to-pune-station
52A,1,NORMAL_52A_Osade Phata To Swargate_Down-0615_0,Osade Phata To Swargate,,0,,3238,,,52/1,1,1,52A - Osade Phata To Swargate,52a-osade-phata-to-swargate
52,1,NORMAL_52_Swargate To Khanapur_Up-0740_0,Swargate To Khanapur,,0,,3567,,,52/1,2,2,52 - Swargate To Khanapur,52-swargate-to-khanapur
52,1,NORMAL_52_Khanapur To Swargate_Down-0900_0,Khanapur To Swargate,,0,,3568,,,52/1,3,3,52 - Khanapur To Swargate,52-khanapur-to-swargate
52A,1,NORMAL_52A_Swargate To Osade Phata_Up-1955_0,Swargate To Osade Phata,,0,,2888,,,52/1,10,5,52A - Swargate To Osade Phata,52a-swargate-to-osade-phata
52B,1,NORMAL_52B_Khanapur To Marketyard_Down-0615_0,Khanapur To Marketyard,,0,,2806,,,52/2,2,2,52B - Khanapur To Marketyard,52b-khanapur-to-marketyard
52B,1,NORMAL_52B_Marketyard To Khanapur_Up-0745_0,Marketyard To Khanapur,,0,,2858,,,52/2,3,3,52B - Marketyard To Khanapur,52b-marketyard-to-khanapur
306,1,NORMAL_306_Hinjawadi Maan Phase 3 To Bhakti Shakti_Down-2005_0,Hinjawadi Maan Phase 3 To Bhakti Shakti,,1,,5019,,,306/1,16,8,306 - Hinjawadi Maan Phase 3 To Bhakti Shakti,306-hinjawadi-maan-phase-3-to-bhakti-shakti
346_89,1,NORMAL_346_Bhosari To Wagholi_Down-0805_0,Bhosari To Wagholi,,1,,4415,,,346/1,1,1,346_89 - Bhosari To Wagholi,346-89-bhosari-to-wagholi
346_89,1,NORMAL_346_Wagholi To Bhosari_Up-0925_0,Wagholi To Bhosari,,1,,4414,,,346/1,2,2,346_89 - Wagholi To Bhosari,346-89-wagholi-to-bhosari
106,1,NORMAL_106_Kothrud Depot To Dhayari Maruti Mandir_Up-0600_0,Kothrud Depot To Dhayari Maruti Mandir,,1,,4200,,,106/1,1,1,106 - Kothrud Depot To Dhayari Maruti Mandir,106-kothrud-depot-to-dhayari-maruti-mandir
106,1,NORMAL_106_Dhayari Maruti Mandir to Kothrud Depot_Down-0645_0,Dhayari Maruti Mandir to Kothrud Depot,,1,,4416,,,106/1,2,2,106 - Dhayari Maruti Mandir to Kothrud Depot,106-dhayari-maruti-mandir-to-kothrud-depot
207,1,NORMAL_207_Swargate To Saswad_Up-1350_0,Swargate To Saswad,,0,,4344,,,207/1,7,2,207 - Swargate To Saswad,207-swargate-to-saswad
189,1,NORMAL_189_Hadapsar Gadital To Devachi Uruli (Dhangar Vasti)_Up-0600_0,Hadapsar Gadital To Devachi Uruli (Dhangar Vasti),,1,,4618,,,189/1,1,1,189 - Hadapsar Gadital To Devachi Uruli (Dhangar Vasti),189-hadapsar-gadital-to-devachi-uruli-dhangar-vasti
189,1,NORMAL_189_Devachi Uruli (Dhangar Vasti) To Hadapsar Gadital_Down-0630_0,Devachi Uruli (Dhangar Vasti) To Hadapsar Gadital,,1,,4620,,,189/1,2,2,189 - Devachi Uruli (Dhangar Vasti) To Hadapsar Gadital,189-devachi-uruli-dhangar-vasti-to-hadapsar-gadital
207,1,NORMAL_207_Saswad To Swargate_Down-1510_0,Saswad To Swargate,,0,,4345,,,207/1,8,3,207 - Saswad To Swargate,207-saswad-to-swargate
207,1,NORMAL_207_Hadapsar Gadital To Swargate_Down-1305_0,Hadapsar Gadital To Swargate,,1,,4617,,,207/1,6,1,207 - Hadapsar Gadital To Swargate,207-hadapsar-gadital-to-swargate
275_12,1,NORMAL_275_Kothrud Stand To Chinchwadgaon_Up-0545_0,Kothrud Stand To Chinchwadgaon,,1,,4162,,,275/1,1,1,275_12 - Kothrud Stand To Chinchwadgaon,275-12-kothrud-stand-to-chinchwadgaon
275_12,1,NORMAL_275_Chinchwadgaon To Kothrud Stand_Down-0700_0,Chinchwadgaon To Kothrud Stand,,1,,4165,,,275/1,2,2,275_12 - Chinchwadgaon To Kothrud Stand,275-12-chinchwadgaon-to-kothrud-stand
206,1,NORMAL_206_Hadapsar Gadital To Vishalnagar_Up-0545_0,Hadapsar Gadital To Vishalnagar,,0,,3669,,,206/1,1,1,206 - Hadapsar Gadital To Vishalnagar,206-hadapsar-gadital-to-vishalnagar
206,1,NORMAL_206_Vishalnagar To Hadapsar Gadital_Down-0710_0,Vishalnagar To Hadapsar Gadital,,0,,3671,,,206/1,2,2,206 - Vishalnagar To Hadapsar Gadital,206-vishalnagar-to-hadapsar-gadital
401_30,3,NORMAL_401_Phule Nagar To Viddya Niketan 6_Up-0650_0,Phule Nagar To Viddya Niketan 6,,1,,4389,,,401/7,2,2,401_30 - Phule Nagar To Viddya Niketan 6,401-30-phule-nagar-to-viddya-niketan-6
401_30,3,NORMAL_401_Viddya Niketan 6 To Phule Nagar_Down-1130_0,Viddya Niketan 6 To Phule Nagar,,1,,4390,,,401/7,5,5,401_30 - Viddya Niketan 6 To Phule Nagar,401-30-viddya-niketan-6-to-phule-nagar
401_30,6,NORMAL_401_Ram Nagar To St.Tukaram School_Up-0635_0,Ram Nagar To St.Tukaram School,,1,,4510,,,401/8,2,2,401_30 - Ram Nagar To St.Tukaram School,401-30-ram-nagar-to-sttukaram-school
401_30,3,NORMAL_401_St.Tukaram School To Kothrud Depo_Down-1130_0,St.Tukaram School To Kothrud Depo,,1,,4511,,,401/8,5,5,401_30 - St.Tukaram School To Kothrud Depo,401-30-sttukaram-school-to-kothrud-depo
