route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1950_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/1,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0550_0,Kothrud Stand To Kondhwagate,,0,,4026,,,82/2,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0630_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/2,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0850_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/2,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1140_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/2,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1410_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/2,5,5,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1650_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/2,6,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2000_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/2,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2210_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/2,8,3,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0600_0,Kothrud Stand To Kondhwagate,,0,,4026,,,82/3,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0640_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/3,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0900_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/3,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1150_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/3,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1420_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/3,5,5,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1700_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/3,6,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2010_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/3,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2220_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/3,8,3,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0610_0,Kothrud Stand To Kondhwagate,,0,,4026,,,82/4,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0650_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/4,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0910_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/4,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1200_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/4,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1430_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/4,5,5,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1710_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/4,6,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2020_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/4,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2230_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/4,8,3,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0620_0,Kothrud Stand To Kondhwagate,,0,,4026,,,82/5,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0700_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/5,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0920_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/5,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1210_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/5,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1440_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/5,5,5,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1720_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/5,6,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2030_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/5,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2240_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/5,8,3,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0630_0,Kothrud Stand To Kondhwagate,,0,,4026,,,82/6,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0710_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/6,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0930_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/6,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1220_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/6,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1450_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/6,5,5,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1730_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/6,6,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2040_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/6,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2250_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/6,8,3,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0640_0,Kothrud Stand To Kondhwagate,,0,,4026,,,82/7,1,1,277A - Kothrud Stand To Kondhwagate
119,1,NORMAL_119_Alandi To Ma Na Pa_Down-0820_0,Alandi To Ma Na Pa,,0,,3376,,,119/1,3,3,119 - Alandi To Ma Na Pa
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0720_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/7,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0940_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/7,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
